query_id,family,source,date_searched,paper_id,corpus_id,title,authors,year,publication_date,venue,publication_types,doi,arxiv_id,pubmed_id,url,is_open_access,open_access_pdf_url,citation_count,reference_count,influential_citation_count,fields_of_study,s2_fields_of_study,abstract
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,011742a4ad09e89993331f0270daf75a64e4659b,25655082,"[Zonation of macrobenthic communities along two bays in an insular coral reef ecosystem (Moorea, French Polynesia)].",M. Adjeroud,2000,,"Comptes rendus de l'Academie des sciences. Serie III, Sciences de la vie",JournalArticle,,,10782335,https://www.semanticscholar.org/paper/011742a4ad09e89993331f0270daf75a64e4659b,False,,8,0,1,Medicine; Biology,Medicine; Biology; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,0127f4fe51bd12ad67fd2b47374a0b1dbb853b28,131073989,Effects of water turbidity on the symbiotic zooxanthella of hermatypic corals,Shuai Xing,2012,,,,10.1360/972011-1184,,,https://www.semanticscholar.org/paper/0127f4fe51bd12ad67fd2b47374a0b1dbb853b28,False,,6,0,0,Environmental Science,Environmental Science; Environmental Science; Biology,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,01395fabd554f1027fdc4a9da691597d6c231ad0,9466926,Sewage impacts coral reefs at multiple levels of ecological organization.,P. Reopanichkul; T. Schlacher; R. Carter; S. Worachananant,2009,2009-09-01,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2009.04.024,,19515390,https://www.semanticscholar.org/paper/01395fabd554f1027fdc4a9da691597d6c231ad0,False,,94,49,4,Environmental Science; Medicine,Environmental Science; Medicine; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,017262a716e72f5ef1a117c31fcd2158b33cb85a,52947890,Photoacclimation to light-limitation in a clionaid sponge; implications for understanding sponge bioerosion on turbid reefs.,Joseph Marlow; S. Davy; A. Haris; J. Bell,2018,2018-10-01,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2018.07.049,,30301060,https://www.semanticscholar.org/paper/017262a716e72f5ef1a117c31fcd2158b33cb85a,False,,4,84,0,Medicine; Environmental Science,Medicine; Environmental Science; Environmental Science,"Watershed-based pollution is a common form of coral reef degradation. Affected reefs are often highly turbid, where light-limitation confines the distribution of photosynthetic benthic taxa and the capacity for photoacclimation is important for survival. We investigated low light photoacclimation in a Symbiodinium-hosting bioeroding sponge using in situ PAM fluorometry. Cliona aff. viridis was artificially shaded (70 & 95% ambient light reduction) on a low turbidity Indonesian reef for 25 days, with a subsequent 14-day recovery period. Significant changes in rETRmax, and qP, and a non-significant but observable decline in Ek, demonstrated that C. aff. viridis is able to photoacclimate to conditions of extreme light reduction and recover within a relatively short period of time. The sponge is therefore unlikely to be light limited on even the most turbid reefs. However, other aspects of watershed-pollution such as sedimentation may still limit their distribution in affected coastal waters."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,017386bf8fe71eac30f3f8dedc524a1aba878682,132926911,Effect of Vetiver Technology on Sediment Loss and Water Quality in Southern Guam,M. Golabi; C. Iyekar; D. Minton,2005,,,,10.13031/2013.18090,,,https://www.semanticscholar.org/paper/017386bf8fe71eac30f3f8dedc524a1aba878682,False,,3,0,0,Environmental Science,Environmental Science; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,0187c52abd15f89c45da72cbd7f94f2c4e6af484,128047447,A carbonate and terrigenous sediment budget for inshore turbid reefs on the Great Barrier Reef,N. Browne,2011,2011-09-01,,,,,,https://www.semanticscholar.org/paper/0187c52abd15f89c45da72cbd7f94f2c4e6af484,False,,2,0,0,Geology,Geology; Environmental Science; Geology,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,018a30e7fd8c854900b015a80144b7b045ee4043,287865738,Importance of Fit-For-Purpose Ground Models in Frontier Field Development,H. Suroor,2026,2026-04-27,Offshore Technology Conference,Conference; Review,10.4043/36890-ms,,,https://www.semanticscholar.org/paper/018a30e7fd8c854900b015a80144b7b045ee4043,False,,0,3,0,,Engineering; Environmental Science; Geology,"
 A mega natural gas field is being developed on the frontier areas of offshore Africa. The pipelines traverse highly variable geologic settings and considerable geohazards, connecting deepwater gas wells to the onshore Liquefied Natural Gas (LNG) plant. Due to multiple revisions of field layout, additional geotechnical and geophysical surveys were conducted at the start of the detailed design phase to gather adequate data and validate the available data. Multiple ground models were developed to fill the data gaps and address significant geologic complexities observed within the development site. Deepwater geologic conditions are considerably different than shallow water geology, separated by a rocky escarpment and incised by canyons. Geohazards are mostly location-specific, while a few hazards are prevalent across the field. To adequately evaluate the diverse geologic and geohazard conditions, a total of four distinct ground models were developed: (1) Shallow-Water Ground Model, (2) Escarpment Ground Model, (3) Deepwater Ground Model, (4) Canyon Crossing Ground Model. These four distinct ground models were developed by combining existing and newly collected geotechnical and geophysical data by the Geophysical and Geotechnical (G&G) experts in their respective fields. Each ground model is unique as it addresses geologic complexities within each region and is fine-tuned to develop necessary design data for the specific infrastructures to be situated in that region. For example, except for the deepwater field, there were minimal subsea structures elsewhere. Alternatively, shallow water soils were more carbonate compared to deepwater sediments. The shallow water model comprises carbonate sands, borrow fills, and coral reefs, while the escarpments are predominantly carbonate rocks. The trunklines crossing the canyons were subject to extreme turbidity currents, canyon slopes covered with potentially liquefiable sands, and considerably rough canyon floors subject to scour. Although these ground models were developed while the detailed design was ongoing, they proved extremely valuable in painting a clearer picture of the geologic challenges that the design had to overcome to create a robust and cost-effective design. By developing fit-for-purpose and region-specific ground models, it was possible to manage various geologic complexities and geohazard risks for this frontier development site. The complexity and use of ground models will be shared. Lessons learned from this project could help develop G&G programs for similar field developments."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,01a12514d1c0964d058eb39bb96f7742a742e0e3,35760082,Environmental conditions influence tissue regeneration rates in scleractinian corals.,Alexis M. Sabine; T. Smith; Dana E Williams; M. Brandt,2015,2015-06-15,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2015.04.006,,25982415,https://www.semanticscholar.org/paper/01a12514d1c0964d058eb39bb96f7742a742e0e3,False,,29,77,3,Biology; Medicine,Biology; Medicine; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,01b1f64a8b2f12404c4d95d04f1a960dc535ff8f,54862455,In vivo measurements of the seasonal photosynthetic fluorescence of the Mediterranean coral Cladocora caespitosa (L.),A. Peirano,2007,2007-12-31,,,10.3989/SCIMAR.2007.71N4629,,,https://www.semanticscholar.org/paper/01b1f64a8b2f12404c4d95d04f1a960dc535ff8f,True,https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/download/217/265/265,12,25,0,Biology,Biology; Environmental Science; Biology,"In situ photosynthetic fluorescence of the zooxanthellate Mediterranean coral Cladocora caespitosa (L.) was measured seasonally on colonies from 5 to 27 m depth using an INF-300 Integrating Natural Fluorometer (Biospherical Instrument Inc.). This oceanographic instrument, used to measure the in vivo phytoplankton chlorophyll a (Chl a ) fluorescence, was adapted to record the natural fluorescence of C. caespitosa by SCUBA divers. The resulting curves of natural fluorescence of Chl a vs photosynthetically active radiation (PAR 400-700 nm) showed that: (1) natural fluorescence was limited by light availability in both deep and shallow colonies in all seasons; (2) photosynthesis occurred in C. caespitosa also in winter, when temperature is low and seawater turbidity contributes significantly to PAR attenuation; and (3) the efficiency of the Chl a fluorescence increased from summer to winter. This last finding outlines the winter coupling between zooxanthellae activity and calcification processes and is consistent with the formation of the high density band in the coral skeleton."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,01b74732fe47a1e2f02dab32e88f0504224eebb0,32038533,"The cumulative impacts of repeated heavy rainfall, flooding and altered water quality on the high-latitude coral reefs of Hervey Bay, Queensland, Australia.",Ian R. Butler; Brigitte Sommer; M. Zann; Jian-xin Zhao; J. Pandolfi,2015,2015-07-15,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2015.04.047,,25935807,https://www.semanticscholar.org/paper/01b74732fe47a1e2f02dab32e88f0504224eebb0,False,,28,67,1,Environmental Science; Medicine,Environmental Science; Medicine; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,01c1e49377f3bc9bdd2d08a66b663e8daf5ff9b6,130334442,"Relationship between sediments and water turbidity in coral reefs around Ishigaki Island, the Ryukyus",K. Tottori; M. Nagao; N. Morimoto; M. Inoue; Akihiro Iwase; T. Shibuno; Y. Fujioka; H. Ohba; H. Kan; A. Suzuki,2004,2004-12-30,,,10.3755/JCRS.2004.1,,,https://www.semanticscholar.org/paper/01c1e49377f3bc9bdd2d08a66b663e8daf5ff9b6,True,https://www.jstage.jst.go.jp/article/jcrs1999/2004/6/2004_6_1/_pdf,7,13,0,Geology,Geology; Environmental Science; Geology,"The distributions of sediments and its relation to reef water turbidities were investigated in three fringing reefs along the east coast of Ishigaki Island and a patch reef named “Shimobishi” in the lagoon of Sekisei Reef. In order to quantify fine particles in sediments, we employed “SPSS (content of suspended particles in sea sediments)” method, which was originally proposed by Ohmija (1987) for quick assessment of land-derived soil distribution in reef sediments. We found highest SPSS values in a moat and channel bottom of the Miyara Bay and along the northern coast of the Todoroki River mouth in Ishigaki Island. In contrast, SPSS values were low in other three reefs including Yasurazaki, Shiraho and Shimobishi areas. Reef water turbidities showed significant correlation with SPSS values, which suggests that the major cause of reef water turbidities is resuspension of fine particles in the sediments. Accuracy and precision of the measurements can be increased by using a portable turbidimeter in the original SPSS method. The modified method has the potential for applying to a study of under-water light environment, which may influence coral-algal competitions in degrading reef conditions."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,01c59b2980d3c4637cb2802ef2d445dfab5e892c,87939452,"Trophic structure of a cold-water coral mound community (Rockall Bank, NE Atlantic) in relation to the near-bottom particle supply and current regime",G. Duineveld; M. Lavaleye; M. Bergman; H. Stigter; F. Mienis,2007,,,,,,,https://www.semanticscholar.org/paper/01c59b2980d3c4637cb2802ef2d445dfab5e892c,False,,183,0,21,Biology,Biology; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,01e07c2bed00872997091c996080598a39f2567d,84009575,Een endoparasiet in Spirogyra,J. Koster,1962,,,,,,,https://www.semanticscholar.org/paper/01e07c2bed00872997091c996080598a39f2567d,False,,0,0,0,Biology,Biology; Biology; Environmental Science,
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,0229eddab852e50acdb38c08880878e206f5a90b,56081062,Integrating a thermistor flowmeter and time lapse imagery to monitor sponge (Porifera) behaviour,Brian W. Strehlow; D. Jorgensen; N. Webster; M. Pineda; A. Duckworth,2016,2016-06-16,,,10.7287/PEERJ.PREPRINTS.2137V1,,,https://www.semanticscholar.org/paper/0229eddab852e50acdb38c08880878e206f5a90b,True,https://doi.org/10.7287/peerj.preprints.2137v1,2,28,0,Geology,Geology; Environmental Science; Biology,"A digital, four-channel thermistor flowmeter was developed as an experimental tool for measuring pumping rates in marine sponges, particularly those with small excurrent pores (oscula). The flowmeter is integrated with time lapse cameras and has an accuracy of ±5 mm s -1 over the range of 5–200 mm s -1 , a spatial resolution of 1.4 mm, and an adjustable temporal resolution of 5 seconds. Combining flowmeters with time lapse imagery yielded valuable insights into the contractile behaviour of oscula in Cliona orientalis, revealing four distinct oscula states: (1) osculum open with extended papilla, (2) osculum closed with extended papilla, (3) osculum closed with papilla retracted, and (4) osculum closed with papilla retracted and contraction of region surrounding osculum. Osculum area was positively correlated to measured excurrent velocities, indicating that sponge pumping and osculum contraction are coordinated behaviours. Diel trends in pumping activity and osculum contraction were also observed, with sponges increasing their pumping activity to peak at midday and decreasing pumping and contracting oscula at night. Short-term elevation of the suspended sediment concentration within the seawater initially decreased pumping rates by up to 90%, ultimately resulting in closure of the oscula and cessation of pumping. The thermistor flowmeter developed here will be a valuable tool to monitor behaviour, physiology and ecophysiology of sponges."
SS_SED_SUSPENDED_01,SED_SUSPENDED,Semantic Scholar Academic Graph API,2026-08-13,022c2072bef9b7de1b4e67a01ea111b6994aa739,134947157,Distribusi Dan Karakteristik Kualitas Perairan Ekosistem Mangrove Pulau Kecil Taman Nasional Bunaken,J. Schaduw,2018,2018-03-27,,,10.22146/MGI.32204,,,https://www.semanticscholar.org/paper/022c2072bef9b7de1b4e67a01ea111b6994aa739,True,https://journal.ugm.ac.id/mgi/article/download/32204/20693,62,0,1,Environmental Science,Environmental Science,"Ekosistem mangrove mempunyai fungsi  ekologi dan sosial ekonomi bagi masyarakat pesisir, mempertahankan fungsi ini merupakan langkah mempertahankan fungsi ekosistem disekitarnya diantaranya terumbu karang  dan  padang lamun. Kajian ini menganalisa kondisi kualitas perairan ekosistem mangrove yang ada pada empat pulau kecil di Taman Nasional Bunaken (Pulau Bunaken; Pulau Manado Tua; Pulau Mantehage; Pulau Nain) dan korelasi karakterisitik kualitas air pulau-pulau tersebut (suhu, salinitas, kekeruhan, total suspended solid, pH, Dissolved Oksigen, NO3-N, dan PO4-P) dengan menggunakan Principal Component Analysis (PCA), kajian ini menggunakan instrumen pengukuran kualitas air in situ dan ex situ di laboratorium. Selain itu, hasil kualitas air ini akan dibandingkan dengan baku mutu yang telah ditetapkan pemerintah pada ekosistem mangrove, hal ini sebagai bahan pertimbangan pengelolaan ekosistem mangrove dimasa yang akan datang. Hasil yang diperoleh dari kajian ini adalah kualitas air keempat pulau ini masuk dalam kategori baik dan dapat mendukung kelangsungan hidup biota yang berasosisi didalamnya. Korelasi karakteristik kualitas air sebesar 94%, faktor utama 1 (F1) 79,33% dan faktor utama 2 (F2) 14,22% dengan penciri utama suhu, PO4-P, dan salinitas, dendogram menunjukkan adanya dua tingkatan hubungan kekerabatan dimana Pulau Nain dan Pulau Manado Tua memiliki kekerabatan kondisi perairan yang sama, diikuti Pulau Bunaken dan Mantehege. Kondisi ini harus dipertahankan dan dimonitoring secara berkala mengingat Taman Nasional Bunaken banyak mendapat tekanan dari aktivitas antropogenik dan perubahan iklim global. Mangrove ecosystems have ecological and socio-economic functions for coastal communities, preserve these functions is a step to maintain the function of adjacent ecosystems including coral reefs and seagrass beds. This study analyzed the water quality conditions of mangrove ecosystem  within four small islands in Bunaken National Park (Bunaken Island, Manado Tua Island, Mantehage Island and Nain Island) and  water quality characteristic correlation among these islands (e.g. temperature, salinity, turbidity, total suspended solid, pH, Dissolved Oxygen, NO3-N, and PO4-P) using Principal Component Analysis (PCA), this study used laboratory in situ and ex situ water quality measurement instruments. In addition, the results of this water quality then compared with the government standard quality for mangrove ecosystem water quality, this is a consideration for the management of mangrove ecosystems in the future. The results obtained from this study shows the water quality of these four islands in the category of good and can support the existence of associate biota that live in it. The correlation of water quality characteristic was 94%, main factor 1 (F1) 79,33% and main factor 2 (F2) 14,22% with main characteristics are temperature, PO4-P, and salinity, grouping these characteristics  through dendogram showed two levels of relationship where Nain Island and Manado Tua Island have the same relationship of their water condition, followed by Bunaken Island and Mantehege. This condition must be maintained and monitored regularly as Bunaken National Park is under considerable get pressure from anthropogenic activities and global climate change."
